country,year,parity,mean_age_at_birth,n
Chad,2014,16,16.833333333333332,1
Comoros,1996,1,28.891150442477876,1695
Comoros,1996,2,27.323018080667595,1438
Comoros,1996,3,26.13776938147215,1191
Comoros,1996,4,25.19146722164412,961
Comoros,1996,5,24.25954861111111,768
Comoros,1996,6,23.17622950819672,610
Comoros,1996,7,22.28836545324768,467
Comoros,1996,8,21.291152263374485,324
Comoros,1996,9,20.543333333333337,200
Comoros,1996,10,20.073275862068964,116
Comoros,1996,11,19.090579710144926,69
Comoros,1996,12,18.375,38
Comoros,1996,13,17.734848484848484,22
Comoros,1996,14,18.462962962962962,9
Comoros,1996,15,18.194444444444446,3
Comoros,1996,16,20.25,2
Comoros,2012,1,28.768370843918408,2934
Comoros,2012,2,26.836499435926072,2387
Comoros,2012,3,25.278798870881825,1898
Comoros,2012,4,24.12006640674962,1427
Comoros,2012,5,23.103568206583578,1024
Comoros,2012,6,22.179695437497834,713
Comoros,2012,7,21.273720308455715,474
Comoros,2012,8,20.277667709464776,303
Comoros,2012,9,19.7795948498034,173
Comoros,2012,10,19.49871999003821,87
Comoros,2012,11,18.379806995781184,43
Comoros,2012,12,17.2258259200549,19
Comoros,2012,13,17.206444617642074,10
Comoros,2012,14,17.086402275060482,3
Comoros,2012,15,14.333333333333334,1
Comoros,2012,16,13.166666666666666,1
Congo Brazzaville,2005,1,26.812133622157717,5152
Congo Brazzaville,2005,2,25.103584296305662,3830
Congo Brazzaville,2005,3,23.86626507945474,2740
Congo Brazzaville,2005,4,22.960295230494534,1880
Congo Brazzaville,2005,5,22.016561447782628,1273
Congo Brazzaville,2005,6,21.193597671177514,815
Congo Brazzaville,2005,7,20.147837279447145,494
Congo Brazzaville,2005,8,19.309213357157255,282
Congo Brazzaville,2005,9,19.10021625232551,131
Congo Brazzaville,2005,10,18.42026327785449,55
Congo Brazzaville,2005,11,18.524693250639714,19
Congo Brazzaville,2005,12,17.510192735202477,8
Congo Brazzaville,2005,13,17.53649244303614,4
Congo Brazzaville,2005,14,16.597351158601892,3
Congo Brazzaville,2005,15,13.083333333333332,1
Congo Brazzaville,2011,1,27.30721275248188,8787
Congo Brazzaville,2011,2,25.513709456780365,7030
Congo Brazzaville,2011,3,24.020883135372166,5375
Congo Brazzaville,2011,4,22.9106169728922,3974
Congo Brazzaville,2011,5,21.922413375720975,2736
Congo Brazzaville,2011,6,21.026649217800028,1790
Congo Brazzaville,2011,7,20.33930445406886,1095
Congo Brazzaville,2011,8,19.6534774603734,636
Congo Brazzaville,2011,9,18.84674794313566,322
Congo Brazzaville,2011,10,18.545361082820456,129
Congo Brazzaville,2011,11,17.310746363104688,47
Congo Brazzaville,2011,12,18.083335188004284,14
Congo Brazzaville,2011,13,18.787805107239304,7
Congo Brazzaville,2011,14,17.214150371407616,5
Congo Brazzaville,2011,15,18.333333333333332,1
Congo Democratic Republic,2007,1,28.216867425058247,7148
Congo Democratic Republic,2007,2,26.998708571977605,5837
Congo Democratic Republic,2007,3,25.981511791255745,4657
Congo Democratic Republic,2007,4,24.967140574934447,3643
Congo Democratic Republic,2007,5,23.887075378114712,2788
Congo Democratic Republic,2007,6,22.89893004029757,2013
Congo Democratic Republic,2007,7,21.831398569108423,1404
Congo Democratic Republic,2007,8,20.95360567199603,944
Congo Democratic Republic,2007,9,19.85471482106755,569
Congo Democratic Republic,2007,10,18.763206548164636,313
Congo Democratic Republic,2007,11,18.0919595911204,152
Congo Democratic Republic,2007,12,17.60488232441278,60
Congo Democratic Republic,2007,13,17.92100292168771,12
Congo Democratic Republic,2007,14,15.150248289667857,5
Congo Democratic Republic,2007,15,16.216824713693654,2
Congo Democratic Republic,2007,16,13.083333333333332,1
Congo Democratic Republic,2013,1,28.172378599274364,14182
Congo Democratic Republic,2013,2,26.912120345586306,11619
Congo Democratic Republic,2013,3,25.809722626037853,9382
Congo Democratic Republic,2013,4,24.627237690618358,7441
Congo Democratic Republic,2013,5,23.710220047305498,5633
Congo Democratic Republic,2013,6,22.656817590656026,4153
Congo Democratic Republic,2013,7,21.585660135147723,2890
Congo Democratic Republic,2013,8,20.7109770426447,1842
Congo Democratic Republic,2013,9,19.710537321540478,1094
Congo Democratic Republic,2013,10,18.856594523019,602
Congo Democratic Republic,2013,11,18.54439675814901,282
Congo Democratic Republic,2013,12,18.108118638800214,113
Congo Democratic Republic,2013,13,18.097692707236074,28
Congo Democratic Republic,2013,14,17.5868821787776,9
Congo Democratic Republic,2013,15,18.135072462424976,4
Congo Democratic Republic,2013,16,14.852208700525944,2
Benin,1996,1,28.91379253182616,4262
Benin,1996,2,27.480121197629618,3582
Benin,1996,3,26.283797814797165,2962
Benin,1996,4,25.21105432494615,2406
Benin,1996,5,23.98799023473629,1948
Benin,1996,6,22.8499892264774,1505
Benin,1996,7,21.741734751435164,1087
Benin,1996,8,20.650353084969034,749
Benin,1996,9,19.908551142575124,451
Benin,1996,10,18.974724280650342,230
Benin,1996,11,18.522165452843122,111
Benin,1996,12,18.323089117622807,39
Benin,1996,13,17.097032581570243,17
Benin,1996,14,16.848865266395105,6
Benin,1996,15,17.291904700568498,3
Benin,1996,16,14.416666666666666,1
Benin,2001,1,28.35460869871771,4612
Benin,2001,2,26.788168000477675,3777
Benin,2001,3,25.54750776074306,3043
Benin,2001,4,24.366382345947752,2436
Benin,2001,5,23.35199589520274,1856
Benin,2001,6,22.44382742575253,1368
