country,year,parity,mean_age_at_birth,n
Guinea,2005,5,29.28362756311091,2713
Guinea,2005,6,31.57648386416163,2006
Guinea,2005,7,33.58044579987868,1359
Guinea,2005,8,35.37671563288984,819
Guinea,2005,9,36.90814824622984,416
Guinea,2005,10,37.87345803263717,186
Guinea,2005,11,39.66649891293271,82
Guinea,2005,12,39.51139478375651,24
Guinea,2005,13,41.21634990872352,4
Guinea,2005,14,41.23447207362435,2
Guinea,2005,15,40.25,1
Guinea,2012,1,18.66972173142057,6950
Guinea,2012,2,21.671393481375294,5646
Guinea,2012,3,24.50004317497031,4495
Guinea,2012,4,27.089643032872743,3545
Guinea,2012,5,29.506808533382745,2686
Guinea,2012,6,31.729570996699977,1860
Guinea,2012,7,33.776919863422826,1207
Guinea,2012,8,35.50116578992529,705
Guinea,2012,9,36.857831525484606,354
Guinea,2012,10,38.123942993785136,154
Guinea,2012,11,39.15424266577038,59
